Gene	sgRNA	E0_Low|beta	E0_Low|z	E0_Low|p-value	E0_Low|fdr	E0_Low|wald-p-value	E0_Low|wald-fdr	E0_High|beta	E0_High|z	E0_High|p-value	E0_High|fdr	E0_High|wald-p-value	E0_High|wald-fdr	E50_Low|beta	E50_Low|z	E50_Low|p-value	E50_Low|fdr	E50_Low|wald-p-value	E50_Low|wald-fdr	E50_High|beta	E50_High|z	E50_High|p-value	E50_High|fdr	E50_High|wald-p-value	E50_High|wald-fdr	E100_Low|beta	E100_Low|z	E100_Low|p-value	E100_Low|fdr	E100_Low|wald-p-value	E100_Low|wald-fdr	E100_High|beta	E100_High|z	E100_High|p-value	E100_High|fdr	E100_High|wald-p-value	E100_High|wald-fdr	EC100_Low|beta	EC100_Low|z	EC100_Low|p-value	EC100_Low|fdr	EC100_Low|wald-p-value	EC100_Low|wald-fdr	EC100_High|beta	EC100_High|z	EC100_High|p-value	EC100_High|fdr	EC100_High|wald-p-value	EC100_High|wald-fdr
ZNF91_P1P2	5	-0.045355	-0.12803	0.6734	0.92597	0.89812	0.99959	-0.25551	-0.72	0.080855	0.41056	0.47153	0.99985	-0.29486	-0.82885	0.13572	0.57457	0.40719	0.882	-0.26268	-0.73403	0.067571	0.40587	0.46293	0.99956	-0.16571	-0.46721	0.26567	0.68601	0.64035	0.99993	-0.025803	-0.072977	0.87005	0.97512	0.94182	1	0.12532	0.35366	0.35547	0.73908	0.72359	1	-0.0074047	-0.020915	0.94975	0.99821	0.98331	0.9992
ZNF200_P1P2	5	-0.0076961	-0.038448	0.84638	0.97056	0.96933	0.99959	-0.054074	-0.27012	0.71297	0.94528	0.78706	0.99985	-0.15912	-0.79404	0.37366	0.8191	0.42717	0.88443	0.13544	0.67454	0.37395	0.78963	0.49997	0.99956	-0.07088	-0.35403	0.66185	0.90467	0.72332	0.99993	0.34996	1.75	0.034941	0.24444	0.080117	1	0.12956	0.64714	0.33959	0.72862	0.51754	1	-0.19225	-0.95998	0.18163	0.57759	0.33706	0.9992
ZNF587B_ENST00000594901.1	5	-0.32993	-1.9457	0.045625	0.316	0.051691	0.99092	-0.35509	-2.0941	0.018192	0.175	0.036251	0.99985	-0.23539	-1.388	0.21658	0.69529	0.16514	0.6764	-0.23199	-1.3664	0.1028	0.48304	0.1718	0.99956	-0.37329	-2.2013	0.017615	0.17318	0.027716	0.99993	-0.27974	-1.6501	0.041582	0.27068	0.098921	1	-0.091357	-0.53879	0.48195	0.8246	0.59003	1	-0.12494	-0.73701	0.38926	0.79697	0.46112	0.9992
KDM6B_P1P2	5	0.067078	0.42711	0.78718	0.95582	0.6693	0.99959	0.15956	1.0166	0.31533	0.75103	0.30936	0.99985	0.067067	0.42656	0.86717	0.98836	0.6697	0.95233	0.13793	0.87304	0.365	0.78315	0.38264	0.99956	0.024417	0.15543	0.82732	0.96091	0.87648	0.99993	0.10855	0.69182	0.41409	0.78965	0.48905	1	-0.10535	-0.66929	0.4268	0.79462	0.50331	1	-0.032202	-0.20496	0.81172	0.96037	0.83761	0.9992
CAMK4_P1P2	5	-0.17667	-0.70989	0.23535	0.68487	0.47777	0.99959	-0.49627	-1.984	0.0020214	0.03211	0.047253	0.99985	-0.55672	-2.2129	0.011262	0.14885	0.026905	0.36395	-0.46677	-1.8298	0.0020214	0.037838	0.067274	0.99956	-0.69469	-2.7644	0	0	0.0057026	0.7508	-0.34051	-1.3683	0.01415	0.14203	0.17121	1	-0.34869	-1.3919	0.016748	0.13976	0.16394	1	-0.29336	-1.1769	0.048802	0.30125	0.23923	0.9992
TP53_P1P2	5	-0.024156	-0.13596	0.77159	0.95426	0.89185	0.99959	0.217	1.2225	0.18077	0.61133	0.2215	0.99985	0.01674	0.094161	0.95004	0.99276	0.92498	0.99846	0.065485	0.36691	0.69448	0.93543	0.71368	0.99956	0.0007156	0.0040281	0.95409	0.99113	0.99679	0.99993	0.13326	0.75089	0.31938	0.71772	0.45272	1	0.052343	0.29446	0.71903	0.93638	0.7684	1	0.21085	1.1878	0.13572	0.49684	0.2349	0.9992
KPNA1_P1	5	-0.039332	-0.25464	0.70113	0.93789	0.799	0.99959	0.17178	1.1128	0.27779	0.71049	0.2658	0.99985	0.16979	1.0993	0.51747	0.89303	0.27165	0.79734	-0.098745	-0.63638	0.45914	0.84161	0.52453	0.99956	0.043303	0.28041	0.72278	0.92367	0.77917	0.99993	-0.010217	-0.06618	0.95813	0.99163	0.94723	1	-0.08362	-0.54091	0.51805	0.84463	0.58857	1	0.10009	0.64827	0.48542	0.84092	0.51681	0.9992
HNRNPK_P1P2	5	0.25185	0.68409	0.1568	0.5785	0.49392	0.99959	-0.046632	-0.12622	0.75628	0.95934	0.89956	0.99985	0.61035	1.6609	0.0060641	0.093333	0.09674	0.5598	-0.24884	-0.6625	0.08201	0.43692	0.50765	0.99956	-0.33877	-0.91266	0.033208	0.26316	0.36142	0.99993	0.18108	0.49242	0.18077	0.57117	0.62242	1	0.35545	0.96432	0.012995	0.11509	0.33489	1	-0.23093	-0.6234	0.11522	0.46449	0.53302	0.9992
ZNF614_P1P2	5	0.12691	0.63798	0.52469	0.88207	0.52348	0.99959	-0.13922	-0.69894	0.33468	0.75406	0.48459	0.99985	0.43177	2.1715	0.061219	0.40076	0.029891	0.37976	0.049454	0.24696	0.77996	0.95931	0.80494	0.99956	-0.16168	-0.81139	0.2801	0.69794	0.41714	0.99993	0.08891	0.44722	0.49668	0.85233	0.65472	1	-0.040921	-0.20528	0.73722	0.93757	0.83736	1	-0.0892	-0.44794	0.52787	0.85694	0.6542	0.9992
SCMH1_ENST00000402904.2	5	-0.2422	-1.5359	0.12821	0.5323	0.12455	0.99092	-0.31827	-2.018	0.032053	0.24667	0.043592	0.99985	-0.77514	-4.8971	0.0011551	0.025806	9.7255e-07	0.00084199	-0.14452	-0.91273	0.28992	0.72211	0.36139	0.99956	-0.049025	-0.31107	0.76841	0.93962	0.75575	0.99993	-0.011888	-0.07547	0.94889	0.98917	0.93984	1	-0.057014	-0.36154	0.65666	0.91954	0.71769	1	0.12097	0.76795	0.3985	0.79907	0.44251	0.9992
SMARCD1_P1P2	5	0.46076	1.7489	0.0098181	0.11182	0.080315	0.99092	-0.030216	-0.11397	0.84551	0.97763	0.90926	0.99985	0.40515	1.5329	0.083165	0.45526	0.12531	0.60861	-0.045093	-0.1671	0.70748	0.93834	0.86729	0.99956	0.25683	0.97226	0.07017	0.38389	0.33092	0.99993	-0.076782	-0.29004	0.5888	0.89784	0.77178	1	0.48016	1.8185	0.0014438	0.017921	0.06899	1	-0.17575	-0.66131	0.22351	0.64056	0.50842	0.9992
CSTF1_P1P2	5	-0.32263	-1.0636	0.048802	0.32816	0.28751	0.99092	0.49853	1.6557	0.0034652	0.050209	0.097777	0.99985	-1.6756	-5.4046	0	0	6.4954e-08	7.4978e-05	0.50836	1.6749	0.015305	0.19065	0.093958	0.99956	-0.6758	-2.2175	0	0	0.026588	0.99993	0.17446	0.57873	0.19809	0.59497	0.56277	1	-0.34992	-1.1503	0.016171	0.13592	0.25003	1	0.00047003	0.0015551	0.99307	0.99971	0.99876	0.99947
ZNF808_P1	5	0.1902	0.53992	0.3009	0.75018	0.58925	0.99959	-0.12608	-0.35681	0.37973	0.78605	0.72123	0.99985	-0.070409	-0.19896	0.62778	0.92471	0.84229	0.98382	-0.0019406	-0.0054802	0.94254	0.98759	0.99563	0.99956	0.022634	0.064126	0.83598	0.96246	0.94887	0.99993	0.28473	0.81099	0.055443	0.31736	0.41737	1	0.03909	0.11057	0.79526	0.95791	0.91196	1	-0.020157	-0.057102	0.87987	0.98006	0.95446	0.9992
TCEAL6_P1P2	5	0.15281	0.53588	0.42333	0.83776	0.59204	0.99959	-0.028706	-0.10041	0.85446	0.97855	0.92002	0.99985	0.0043816	0.015278	0.90326	0.98836	0.98781	0.99846	-0.083551	-0.28785	0.52238	0.85883	0.77346	0.99956	0.076143	0.26666	0.56396	0.85997	0.78973	0.99993	-0.14525	-0.50831	0.2853	0.68138	0.61124	1	0.056611	0.19757	0.69506	0.92827	0.84338	1	-0.063246	-0.2211	0.64511	0.90161	0.82502	0.9992
LOXL3_P1P2	5	0.047666	0.38617	0.87756	0.97249	0.69937	0.99959	-0.035582	-0.28826	0.81519	0.97532	0.77315	0.99985	0.009914	0.080304	0.92203	0.98846	0.936	0.99846	0.027843	0.22533	0.89171	0.98507	0.82172	0.99956	-0.073204	-0.59301	0.64973	0.90056	0.55317	0.99993	0.092249	0.74747	0.47906	0.83788	0.45478	1	-0.13311	-1.0781	0.31735	0.70858	0.281	1	-0.074569	-0.60408	0.59573	0.88443	0.54579	0.9992
PAX6_P1P2	5	0.10582	0.76173	0.60728	0.90764	0.44622	0.99959	0.05073	0.36516	0.75108	0.95853	0.715	0.99985	-0.40319	-2.896	0.054866	0.38153	0.0037792	0.15673	-0.098322	-0.70498	0.46116	0.84161	0.48082	0.99956	-0.091477	-0.65817	0.55068	0.85134	0.51043	0.99993	-0.039861	-0.28696	0.78689	0.95812	0.77415	1	0.062465	0.44939	0.66128	0.91954	0.65315	1	0.11654	0.839	0.41554	0.80707	0.40147	0.9992
ASH1L_P1P2	5	0.29411	1.6641	0.091828	0.45326	0.096098	0.99092	-0.0023873	-0.013467	0.98729	0.99884	0.98925	0.99985	-0.054498	-0.30642	0.68496	0.95162	0.75929	0.97136	0.086994	0.48585	0.58273	0.88982	0.62708	0.99956	0.053044	0.29931	0.67196	0.90697	0.76471	0.99993	0.22602	1.2801	0.10078	0.42945	0.2005	1	0.21286	1.2006	0.12995	0.50846	0.22989	1	0.069845	0.39431	0.62374	0.89445	0.69335	0.9992
ZNF326_P1P2	5	-0.0016049	-0.010252	0.8741	0.97249	0.99182	0.99959	-0.1758	-1.1227	0.22177	0.65284	0.26158	0.99985	-0.22013	-1.4048	0.24459	0.72434	0.16007	0.67342	-0.092714	-0.59053	0.48109	0.84161	0.55483	0.99956	-0.089651	-0.57259	0.55992	0.85721	0.56692	0.99993	-0.16469	-1.052	0.22553	0.62832	0.29278	1	-0.013999	-0.089387	0.89547	0.98664	0.92877	1	-0.14084	-0.89947	0.33728	0.75648	0.3684	0.9992
ZNF845_P1P2	5	-0.089816	-0.40645	0.4961	0.87045	0.68441	0.99959	0.01508	0.068373	0.93012	0.98954	0.94549	0.99985	0.18512	0.83868	0.47213	0.87932	0.40165	0.88065	-0.25029	-1.114	0.079411	0.43103	0.26528	0.99956	0.060295	0.27341	0.63904	0.89559	0.78454	0.99993	-0.043444	-0.1972	0.76754	0.95513	0.84367	1	0.12725	0.57599	0.34854	0.73333	0.56462	1	-0.2633	-1.1888	0.073636	0.3685	0.23452	0.9992
WFS1_P1P2	5	0.20398	1.3277	0.26422	0.7092	0.18429	0.99092	0.0082592	0.053691	0.96275	0.99138	0.95718	0.99985	-0.30661	-1.9826	0.1259	0.56477	0.047414	0.43785	0.11478	0.73963	0.45539	0.84161	0.45952	0.99956	-0.0079489	-0.051653	0.9948	1	0.95881	0.99993	-0.068283	-0.44411	0.63211	0.91667	0.65696	1	-0.0793	-0.51407	0.53624	0.85583	0.60721	1	-0.029162	-0.18951	0.82645	0.96364	0.84969	0.9992
METTL8_P1P2	5	0.12506	0.28306	0.53075	0.88207	0.77713	0.99959	-0.070446	-0.15909	0.62634	0.91279	0.8736	0.99985	-0.26587	-0.59766	0.17239	0.65043	0.55007	0.92089	-0.095095	-0.2132	0.47271	0.84161	0.83117	0.99956	0.085894	0.19429	0.52065	0.84095	0.84595	0.99993	-0.10696	-0.2419	0.44095	0.81075	0.80886	1	0.070316	0.15864	0.6145	0.89735	0.87395	1	-0.07347	-0.16591	0.5989	0.88443	0.86823	0.9992
DLG1_P1P2	5	-0.18608	-1.3011	0.21715	0.66844	0.19323	0.99092	-0.2327	-1.627	0.11435	0.48889	0.10374	0.99985	-0.63284	-4.4132	0.0046203	0.075829	1.0187e-05	0.0044096	-0.2126	-1.4803	0.13197	0.546	0.13878	0.99956	-0.21995	-1.5377	0.14929	0.54825	0.12411	0.99993	-0.082088	-0.57439	0.56194	0.88014	0.5657	1	-0.18746	-1.3099	0.17528	0.59568	0.19024	1	-0.036597	-0.25601	0.78718	0.9545	0.79794	0.9992
WDR55_P1P2	5	0.89234	1.7205	0	0	0.085349	0.99092	-0.29852	-0.57398	0.042738	0.29077	0.56598	0.99985	1.0702	2.0633	0	0	0.039086	0.41953	-0.90628	-1.7182	0	0	0.085756	0.99956	0.38298	0.73784	0.010973	0.12583	0.46061	0.99993	-0.80401	-1.5428	0	0	0.12287	1	0.80377	1.5491	0	0	0.12135	1	-0.7892	-1.513	0	0	0.13027	0.9992
SAP130_P1P2	5	-0.089347	-0.38079	0.49668	0.87045	0.70336	0.99959	0.1042	0.44452	0.50245	0.85169	0.65667	0.99985	-0.3884	-1.6499	0.062085	0.40414	0.098966	0.56139	-0.13349	-0.56458	0.33064	0.75676	0.57236	0.99956	-0.14403	-0.61365	0.33381	0.74198	0.53945	0.99993	-0.0045235	-0.0193	0.98556	0.99738	0.9846	1	-0.069733	-0.2969	0.58908	0.88388	0.76654	1	-0.21994	-0.93682	0.1311	0.4914	0.34885	0.9992
ZNF568_P1P2	5	-0.0088895	-0.060714	0.84118	0.97056	0.95159	0.99959	0.03421	0.23371	0.8328	0.97532	0.81521	0.99985	0.1176	0.80293	0.69015	0.95409	0.42202	0.88443	-0.19496	-1.3221	0.16575	0.59854	0.18614	0.99956	0.096247	0.6576	0.47416	0.81114	0.5108	0.99993	0.0048315	0.033021	0.95697	0.99133	0.97366	1	-0.15819	-1.0786	0.2391	0.65456	0.28078	1	-0.11675	-0.79707	0.41727	0.80712	0.42541	0.9992
KLF4_P1	5	0.19417	1.0426	0.29021	0.73951	0.29714	0.99092	0.17452	0.93706	0.27144	0.70194	0.34873	0.99985	0.33506	1.7987	0.1568	0.62329	0.072064	0.50205	0.041953	0.22402	0.81779	0.96821	0.82275	0.99956	0.044949	0.24122	0.71094	0.92222	0.80938	0.99993	-0.070822	-0.38016	0.61767	0.90859	0.70383	1	0.083526	0.44798	0.54923	0.86731	0.65417	1	0.15199	0.81602	0.28732	0.71583	0.41449	0.9992
MSX1_P1P2	5	0.060819	0.30769	0.81461	0.96419	0.75832	0.99959	-0.095498	-0.4829	0.49957	0.85169	0.62917	0.99985	0.27269	1.3796	0.26278	0.74529	0.16771	0.67874	0.10715	0.53976	0.48773	0.84161	0.58936	0.99956	0.0072905	0.036875	0.92088	0.98824	0.97058	0.99993	-0.022676	-0.11475	0.88767	0.97774	0.90864	1	-0.0072695	-0.036738	0.93185	0.98912	0.97069	1	-0.066613	-0.33687	0.62893	0.89446	0.73622	0.9992
EBF3_P1P2	5	-0.20251	-1.4765	0.19174	0.63908	0.13982	0.99092	-0.24036	-1.7523	0.10338	0.46253	0.079716	0.99985	0.063129	0.46029	0.88218	0.98836	0.64531	0.94705	-0.25667	-1.8675	0.073058	0.41789	0.06183	0.99956	-0.14574	-1.0626	0.3266	0.73729	0.28798	0.99993	-0.047952	-0.34972	0.7456	0.95428	0.72655	1	-0.027288	-0.19894	0.80941	0.9629	0.84231	1	-0.12401	-0.90419	0.39301	0.79697	0.36589	0.9992
HAVCR2_ENST00000307851.4	5	-0.29975	-1.7554	0.067283	0.40522	0.079197	0.99092	-0.20175	-1.1819	0.16431	0.57315	0.23725	0.99985	-0.44846	-2.6229	0.03523	0.30123	0.0087186	0.23405	-0.23543	-1.3735	0.098758	0.47566	0.16959	0.99956	-0.27738	-1.6244	0.070459	0.38402	0.10428	0.99993	-0.33966	-1.9899	0.014438	0.14451	0.046606	1	-0.40056	-2.3432	0.0063529	0.068323	0.01912	1	-0.12234	-0.71684	0.39994	0.79919	0.47347	0.9992
USP15_P1P2	5	0.30582	1.3624	0.083454	0.44806	0.17308	0.99092	-0.29464	-1.3037	0.046203	0.30784	0.19233	0.99985	0.031047	0.13756	0.99856	0.99913	0.89059	0.99018	-0.065123	-0.28535	0.60959	0.89715	0.77537	0.99956	-0.5014	-2.2112	0.0023101	0.039604	0.027022	0.99993	-0.27713	-1.2288	0.043604	0.27757	0.21914	1	-0.085154	-0.37671	0.50967	0.84055	0.70639	1	-0.4072	-1.7989	0.0063529	0.065476	0.072033	0.9992
GDF5_P1P2	5	-0.17197	-1.2311	0.24516	0.69533	0.21827	0.99092	-0.043775	-0.31362	0.76783	0.96212	0.75381	0.99985	-0.074984	-0.5365	0.60988	0.92124	0.59161	0.9335	-0.00485	-0.03456	0.92723	0.98723	0.97243	0.99956	-0.11672	-0.83577	0.43921	0.80459	0.40329	0.99993	0.11938	0.85642	0.37338	0.7582	0.39176	1	0.011378	0.081449	0.95842	0.99257	0.93508	1	-0.043297	-0.3102	0.75368	0.94298	0.75641	0.9992
ZNF766_P1P2	5	0.14284	0.76903	0.46203	0.85503	0.44187	0.99959	-0.13698	-0.73495	0.34277	0.76041	0.46237	0.99985	0.026261	0.14077	0.98874	0.99709	0.88805	0.99018	-0.047422	-0.25072	0.69391	0.93543	0.80203	0.99956	0.22299	1.2016	0.11031	0.47232	0.22952	0.99993	0.35082	1.8966	0.034652	0.24341	0.057883	1	0.26088	1.4031	0.061796	0.33385	0.16059	1	0.32408	1.749	0.020791	0.17225	0.080299	0.9992
SMAD7_P1P2	5	-0.27009	-0.86394	0.094427	0.45417	0.38762	0.99959	0.084133	0.27057	0.59197	0.89957	0.78672	0.99985	0.26408	0.84878	0.27953	0.7533	0.396	0.87944	0.19064	0.60553	0.21167	0.66342	0.54483	0.99956	0.11815	0.37997	0.38839	0.7795	0.70396	0.99993	0.14531	0.46845	0.2801	0.67549	0.63946	1	-0.024461	-0.078299	0.82992	0.97193	0.93759	1	0.11395	0.36657	0.42564	0.80952	0.71394	0.9992
AATF_P1P2	5	0.57185	1.5913	0.00057753	0.0097087	0.11154	0.99092	-0.13241	-0.36795	0.35923	0.77701	0.71291	0.99985	0.77911	2.1681	0	0	0.030154	0.37976	-0.056136	-0.15546	0.64742	0.91175	0.87646	0.99956	0.38218	1.0632	0.010973	0.12583	0.2877	0.99993	-0.25864	-0.71874	0.057753	0.32103	0.4723	1	0.65458	1.8212	0	0	0.06858	1	-0.41398	-1.1493	0.0060641	0.063253	0.25044	0.9992
RPL30_P1P2	5	1.224	1.0712	0	0	0.28407	0.99092	-0.9649	-0.81464	0	0	0.41528	0.99985	0.91832	0.80032	0	0	0.42353	0.88443	-0.5071	-0.42329	0	0	0.67208	0.99956	0.54488	0.47387	0.00028877	0.0064516	0.63559	0.99993	-0.96363	-0.81654	0	0	0.41419	1	1.7478	1.5324	0	0	0.12543	1	-0.98631	-0.83216	0	0	0.40532	0.9992
LMO3_P2	5	-0.1646	-1.246	0.25989	0.70588	0.21278	0.99092	-0.045439	-0.34424	0.7609	0.96203	0.73067	0.99985	0.062674	0.4745	0.88392	0.98836	0.63514	0.94318	-0.25745	-1.9306	0.071903	0.41569	0.053536	0.99956	-0.22473	-1.7004	0.1415	0.53544	0.089061	0.99993	-0.11036	-0.83637	0.42102	0.79369	0.40295	1	0.068329	0.51734	0.62576	0.90179	0.60492	1	0.094336	0.71515	0.50794	0.84837	0.47451	0.9992
PGR_P1P2	5	0.068192	0.27869	0.78314	0.95426	0.78048	0.99959	0.12651	0.5178	0.419	0.80812	0.6046	0.99985	0.18778	0.76626	0.46636	0.87932	0.44352	0.89194	0.11298	0.45353	0.46578	0.84161	0.65017	0.99956	0.1357	0.55518	0.31822	0.73064	0.57877	0.99993	0.039002	0.1598	0.75224	0.95428	0.87304	1	0.0079245	0.032223	0.97834	0.99355	0.97429	1	0.17314	0.70919	0.22206	0.64056	0.47821	0.9992
YWHAQ_P1P2	5	-0.10392	-0.51863	0.44297	0.84332	0.60402	0.99959	-0.043095	-0.21532	0.77014	0.96212	0.82952	0.99985	-0.055544	-0.27665	0.68062	0.94964	0.78205	0.97383	-0.12443	-0.61445	0.36269	0.78115	0.53892	0.99956	0.1142	0.57156	0.40427	0.78844	0.56762	0.99993	-0.08292	-0.4149	0.55674	0.8771	0.67822	1	0.10791	0.53865	0.42882	0.79678	0.59013	1	-0.12325	-0.6151	0.39503	0.79697	0.53849	0.9992
ZNF611_P1P2	5	0.03141	0.16459	0.95842	0.99255	0.86926	0.99959	0.10778	0.56524	0.48686	0.84427	0.57191	0.99985	0.24982	1.3093	0.30985	0.7815	0.19043	0.71019	-0.034173	-0.17717	0.76928	0.95621	0.85938	0.99956	0.15927	0.83542	0.24054	0.65954	0.40348	0.99993	0.024677	0.12948	0.8328	0.97057	0.89698	1	-0.1228	-0.64127	0.35865	0.73973	0.52134	1	-0.082057	-0.42964	0.5605	0.8704	0.66746	0.9992
RNF10_P1P2	5	0.2963	1.6299	0.09125	0.45326	0.10313	0.99092	-0.16569	-0.90831	0.25383	0.68887	0.36371	0.99985	-0.10615	-0.58097	0.51863	0.89309	0.56126	0.92374	0.019866	0.10804	0.93676	0.98723	0.91397	0.99956	-0.13294	-0.72876	0.37424	0.77143	0.46615	0.99993	0.04033	0.22171	0.74357	0.95428	0.82454	1	-0.076475	-0.41869	0.55414	0.87108	0.67544	1	0.021419	0.1176	0.8894	0.98062	0.90638	0.9992
RBBP7_P1P2	5	0.10039	0.47306	0.63067	0.91068	0.63617	0.99959	-0.033324	-0.15678	0.82674	0.97532	0.87542	0.99985	0.098154	0.46115	0.75686	0.97368	0.64469	0.94705	0.14248	0.66242	0.35114	0.77255	0.5077	0.99956	-0.018697	-0.087939	0.93705	0.98824	0.92992	0.99993	-0.19041	-0.89567	0.15738	0.54014	0.37043	1	-0.016689	-0.078274	0.87987	0.98664	0.93761	1	-0.057673	-0.27122	0.67514	0.9132	0.78622	0.9992
RNMT_P1P2	5	-0.048332	-0.24116	0.66185	0.92335	0.80943	0.99959	0.26373	1.3173	0.10511	0.46667	0.18775	0.99985	-0.074774	-0.37276	0.61016	0.92124	0.70933	0.96327	0.096768	0.48113	0.53537	0.86723	0.63043	0.99956	0.084168	0.42014	0.527	0.84296	0.67438	0.99993	0.045347	0.22645	0.71094	0.9379	0.82085	1	-0.054366	-0.27105	0.66792	0.91954	0.78635	1	0.00085115	0.0042479	0.99538	0.99971	0.99661	0.99947
PCGF5_ENST00000543648.1	5	-0.027073	-0.21811	0.76061	0.95245	0.82734	0.99959	-0.03599	-0.28996	0.81375	0.97532	0.77185	0.99985	-0.11925	-0.9603	0.47906	0.88104	0.33691	0.84042	-0.1604	-1.289	0.24459	0.68468	0.19739	0.99956	-0.053106	-0.42783	0.75022	0.93207	0.66878	0.99993	-0.042057	-0.33889	0.77303	0.95679	0.73469	1	-0.061032	-0.49153	0.63298	0.90616	0.62305	1	0.021394	0.17237	0.8894	0.98062	0.86314	0.9992
ZNF529_P1P2	5	-0.17929	-0.93336	0.22957	0.67891	0.35063	0.99959	0.048356	0.25222	0.76552	0.96212	0.80087	0.99985	-0.061781	-0.32139	0.66012	0.94346	0.74792	0.97136	-0.0076156	-0.039348	0.91164	0.98723	0.96861	0.99956	-0.03793	-0.19766	0.83165	0.9616	0.84331	0.99993	0.094576	0.4939	0.46665	0.82702	0.62138	1	0.043001	0.2239	0.77216	0.94621	0.82284	1	0.30812	1.6097	0.029165	0.21702	0.10747	0.9992
ZNF438_P2	5	0.22159	1.3197	0.22033	0.66871	0.18692	0.99092	-0.061793	-0.36726	0.67138	0.92629	0.71343	0.99985	0.056034	0.33268	0.90702	0.98836	0.73937	0.9684	0.19715	1.1625	0.19405	0.63818	0.24502	0.99956	0.13239	0.78789	0.33266	0.74084	0.43076	0.99993	0.26098	1.5564	0.068727	0.34694	0.11961	1	0.015952	0.094673	0.93272	0.98912	0.92457	1	0.0051331	0.030525	0.98325	0.99971	0.97565	0.9992
IDI2_P1P2	5	-0.22823	-0.93704	0.14323	0.55234	0.34874	0.99959	-0.58488	-2.3888	0.00028877	0.0055866	0.016903	0.99985	-0.11237	-0.46081	0.49899	0.88866	0.64494	0.94705	-0.19227	-0.77733	0.17095	0.60901	0.43697	0.99956	-0.13732	-0.56441	0.35807	0.75748	0.57247	0.99993	-0.17544	-0.72235	0.19376	0.58603	0.47008	1	0.064905	0.26681	0.64684	0.91503	0.78961	1	-0.23534	-0.9664	0.10742	0.45091	0.33385	0.9992
PARP12_P1P2	5	0.14232	0.43055	0.46347	0.85503	0.6668	0.99959	-0.33037	-0.99541	0.026855	0.22196	0.31954	0.99985	-0.027533	-0.083014	0.78111	0.97414	0.93384	0.99846	0.1154	0.34638	0.45134	0.84058	0.72906	0.99956	0.11077	0.33498	0.41554	0.79109	0.73764	0.99993	0.15704	0.47595	0.24718	0.6537	0.63411	1	0.1373	0.41459	0.30927	0.69909	0.67844	1	0.29968	0.90821	0.033497	0.23673	0.36377	0.9992
APEX2_P1P2	5	0.11463	0.41333	0.57089	0.89054	0.67936	0.99959	-0.087552	-0.3147	0.54173	0.87378	0.75299	0.99985	-0.12099	-0.4324	0.47531	0.87932	0.66545	0.95193	0.011793	0.04143	0.98239	0.9959	0.96695	0.99956	-0.20258	-0.72586	0.18337	0.60019	0.46792	0.99993	-0.052849	-0.19056	0.71787	0.9414	0.84887	1	0.014001	0.050195	0.94225	0.98912	0.95997	1	0.041608	0.1499	0.77823	0.95028	0.88085	0.9992
ZNF676_ENST00000397121.2	5	0.12102	0.7712	0.54808	0.88341	0.44059	0.99959	0.046823	0.29835	0.77303	0.96503	0.76543	0.99985	0.18314	1.1667	0.47849	0.88045	0.24331	0.76637	0.002966	0.018845	0.9717	0.9959	0.98496	0.99956	0.14272	0.90952	0.2931	0.70764	0.36307	0.99993	0.25539	1.6284	0.073924	0.36096	0.10345	1	0.24007	1.5296	0.087496	0.41967	0.12611	1	0.18325	1.168	0.19405	0.60161	0.24281	0.9992
TFEB_P2	5	-0.0032721	-0.019396	0.86774	0.97249	0.98453	0.99959	0.02994	0.17751	0.85302	0.97855	0.85911	0.99985	0.14245	0.84426	0.60641	0.92124	0.39852	0.88032	0.087476	0.51677	0.58129	0.88982	0.60531	0.99956	0.099904	0.59236	0.46203	0.80762	0.55361	0.99993	-0.046223	-0.27409	0.75599	0.95428	0.78401	1	0.063892	0.37857	0.65435	0.91954	0.70501	1	0.18919	1.1221	0.18019	0.57353	0.26182	0.9992
NEDD4_P1P2	5	0.36294	1.1249	0.036962	0.27468	0.26061	0.99092	-0.026592	-0.082277	0.86312	0.97904	0.93443	0.99985	0.17438	0.53946	0.50361	0.88962	0.58957	0.93313	-0.041835	-0.12833	0.72596	0.9444	0.89789	0.99956	0.29689	0.91993	0.038117	0.28696	0.35761	0.99993	-0.21252	-0.65735	0.11637	0.4564	0.51095	1	0.34372	1.0643	0.014438	0.12469	0.28719	1	-0.20736	-0.64078	0.15218	0.52386	0.52166	0.9992
TIRAP_P1P2	5	-0.16693	-0.62545	0.25411	0.70231	0.53168	0.99959	-0.18584	-0.69645	0.20185	0.63521	0.48614	0.99985	-0.44082	-1.6213	0.037828	0.30969	0.10495	0.57054	-0.21586	-0.77764	0.1285	0.54005	0.43678	0.99956	-0.32307	-1.2032	0.04216	0.30165	0.22891	0.99993	-0.34465	-1.2909	0.013572	0.13824	0.19673	1	-0.12025	-0.44805	0.36731	0.74277	0.65411	1	-0.23112	-0.86461	0.11522	0.46449	0.38725	0.9992
ZNF581_P2	5	0.091114	1.0656	0.67543	0.92597	0.2866	0.99092	-0.07411	-0.86655	0.60843	0.90081	0.38619	0.99985	0.03598	0.42062	0.98094	0.99648	0.67404	0.95295	-0.020339	-0.23713	0.84002	0.97688	0.81255	0.99956	0.011078	0.12955	0.90009	0.98546	0.89693	0.99993	-0.024912	-0.29138	0.8767	0.9753	0.77076	1	0.057961	0.6776	0.68524	0.92443	0.49802	1	-0.0039131	-0.04576	0.9691	0.9994	0.9635	0.9992
